terrain,gen_edu_category,sample_size,fe_rate,fe_rate_se,ur,ur_se
Hills,Not Literate,54,9.084058991432958,3.716754192020845,14.175555262720849,8.114395003154877
Hills,Below Primary,160,5.672795623391314,1.9963851498714495,2.914729015620325,1.8036857244957338
Hills,Primary or Middle,1535,8.734909211699646,1.1701340994372262,11.798343662995945,1.7470937532803636
Hills,Matriculation,457,20.538032938443855,4.177044820163358,22.344989266443953,3.2475885997382483
Hills,HS or Diploma,497,27.927483116270196,3.2670254753852586,22.553308164520082,2.643282826516108
Hills,UG,688,29.278041715039453,2.729108333173718,56.22022986509217,2.973771713786028
Hills,PG and above,166,23.19949701511796,4.363187549100885,72.82611671166977,4.6314199055932965
Plains,Not Literate,27,36.49573380150704,11.774271011429173,0.40705438520579357,0.4192327887847083
Plains,Below Primary,78,14.11080589024332,6.376627602293788,4.262362682687421,2.572666309366041
Plains,Primary or Middle,1134,18.62906049181086,4.171789965164325,12.987754031691296,2.198793382923346
Plains,Matriculation,405,20.582986082232328,3.207134867158797,21.60507226439877,3.7456875856260514
Plains,HS or Diploma,486,24.81297673800727,3.558646486821901,29.245455574681362,4.056526740736355
Plains,UG,630,24.61108250327698,2.600537564631572,47.60453456377559,3.549286861797068
Plains,PG and above,89,55.60801668425388,10.009523326657757,37.081056026106914,9.286594598159443
