ner_state_name,gen_edu_category,sample_size,fe_rate,fe_rate_se,ur,ur_se
Arunachal Pradesh,Not Literate,15,42.8615420377655,16.305873856749926,0,0
Arunachal Pradesh,Below Primary,53,6.452363780187928,4.258714863476254,0,0
Arunachal Pradesh,Primary or Middle,386,12.335943318010917,3.839650033164199,9.097386590151853,2.208828198839885
Arunachal Pradesh,Matriculation,127,12.646592822708719,4.2973004111100765,9.628955174075527,4.087594062720398
Arunachal Pradesh,HS or Diploma,144,24.185322026824576,6.383968307874424,22.53311791944543,3.872100235078007
Arunachal Pradesh,UG,231,17.41913638506927,3.2712525103126935,63.69734678731572,5.779312212545997
Arunachal Pradesh,PG and above,57,8.829084947799684,4.728323649004813,88.09608008946735,5.312940892732806
Assam,Not Literate,27,35.14337193969803,11.456723334918276,0,0
Assam,Below Primary,61,15.3577557000785,6.941297190278371,4.110584326901957,2.744726712847883
Assam,Primary or Middle,756,19.427352347940893,4.423159849044724,13.543165106708614,2.3633786720400374
Assam,Matriculation,256,22.43353905815465,3.649282488935323,22.688694912984765,4.058991315106731
Assam,HS or Diploma,309,24.808970598491786,3.862683055523382,29.808776370784575,4.380126135353075
Assam,UG,282,23.19238515710914,3.100500147467495,51.60302824816696,4.2729358747487884
Assam,PG and above,32,59.37354028470043,11.735311210376715,37.34851963039199,11.339585965449116
Manipur,Not Literate,7,0,0,65.77991007840802,12.57533377250686
Manipur,Below Primary,1,0,0,0,0
Manipur,Primary or Middle,305,7.902324539745852,1.740272086667137,12.290280607512376,2.4295005991342467
Manipur,Matriculation,98,5.507415264919862,1.9024405091324457,11.74450318841114,4.925004755002749
Manipur,HS or Diploma,134,16.05486828625125,3.8722523998202396,16.08627481008418,4.875689177903071
Manipur,UG,227,32.58179004972295,4.676981040996304,45.03578496131833,5.191252034292861
Manipur,PG and above,30,65.20973694744029,11.540585071741006,29.065074946684387,9.412770858368665
Meghalaya,Not Literate,11,4.234670981524906,3.0615875278122413,11.640463977503288,10.541294252481482
Meghalaya,Below Primary,88,4.5446449900990755,2.3160277895131394,3.756526952908526,2.3473265156034477
Meghalaya,Primary or Middle,481,4.946081560735797,1.2172784316031513,16.469647089231813,3.1255278397676958
Meghalaya,Matriculation,107,28.13186112049118,6.709880358963267,24.48873316448854,4.248169424679319
Meghalaya,HS or Diploma,117,19.72494752372799,4.688148524761371,38.902728012832135,6.82741018003392
Meghalaya,UG,125,27.37641493637485,4.040097891002957,57.07499979315153,5.4589939046507565
Meghalaya,PG and above,26,16.012962494876653,8.4883743377866,80.45886782273438,9.032940841233255
Mizoram,Not Literate,10,0,0,0,0
Mizoram,Below Primary,3,0,0,17.942595390088204,20.821788856356342
Mizoram,Primary or Middle,149,3.0413007956024907,1.4227225374171137,5.427919645050222,3.4053991784141884
Mizoram,Matriculation,44,8.081520479526109,4.040776345943082,8.751802483182782,4.434732711231154
Mizoram,HS or Diploma,43,30.337110920780574,11.25321893196068,10.588678775186906,5.502295428407032
Mizoram,UG,70,52.12294303144449,8.866709107806013,25.24803448353486,7.536377330259161
Mizoram,PG and above,27,40.227793082956936,13.216977403874461,57.560911381329106,13.8299639604133
Nagaland,Not Literate,4,0,0,100,0
Nagaland,Below Primary,10,0,0,0,0
Nagaland,Primary or Middle,224,13.383916760586107,4.2550139633856565,15.828246560724416,4.501508581068286
Nagaland,Matriculation,94,9.320467295506566,4.55374712200496,40.77864989601041,6.0847848515572895
Nagaland,HS or Diploma,64,25.900712018083492,8.343959097362772,43.202510389357236,7.462023089215439
Nagaland,UG,96,8.934032235254403,3.0935187387365963,81.84533464719597,5.134822507935823
Nagaland,PG and above,25,10.516573577857429,6.033416188593486,84.10843466534628,7.353812705448753
Sikkim,Not Literate,7,38.08117468450518,20.929970982721212,0,0
Sikkim,Below Primary,6,92.62858744048783,8.197826660627474,0,0
Sikkim,Primary or Middle,127,46.43859586111036,5.842322477393911,2.965007323721707,1.314231853690174
Sikkim,Matriculation,48,37.703827053617275,7.75163854564348,12.16397472217516,4.831572687609192
Sikkim,HS or Diploma,75,68.14314853752708,6.564176538842838,9.661920594408201,3.571790025460262
Sikkim,UG,97,78.47890570441697,6.344643404007934,12.46433821787905,5.009509678014915
Sikkim,PG and above,26,78.6428091619888,8.267220991008648,13.603528843740992,6.765261516941049
Tripura,Below Primary,16,0,0,5.988108493394676,6.079046524383423
Tripura,Primary or Middle,241,4.246686476279169,1.2196907040481013,1.3534564073256945,0.7950434000450183
Tripura,Matriculation,88,24.79611526848069,6.775165376666107,2.7953555081596297,2.0197839026295994
Tripura,HS or Diploma,97,37.01490841354207,7.140163799941057,8.894857903192936,3.371933166267773
Tripura,UG,190,28.99455661942158,4.840609351881142,27.978075489258636,6.678141316458279
Tripura,PG and above,32,22.83826306196476,9.354382306436705,40.83748035728039,11.49128639510051
