region,gen_edu_category,gender,sample_size,fe_rate,fe_rate_se,ur,ur_se
NER,Not Literate,Female,37,39.40385363104273,16.137293725542353,1.9862848870095515,1.171642207070193
NER,Not Literate,Male,44,26.122557544310602,13.225298176872766,2.9885555063397486,2.25008938949713
NER,Below Primary,Female,79,21.64738853473854,12.022365250342428,5.265404261304059,3.3036500128155732
NER,Below Primary,Male,159,8.367862470144622,4.488165815996278,3.421134995516416,2.442253940493624
NER,Primary or Middle,Female,914,17.666725831390217,7.40200280981068,17.202823815463365,3.2807447018469023
NER,Primary or Middle,Male,1754,15.655465691291088,2.2058080509090567,10.716728345715495,1.7947014763039983
NER,Primary or Middle,Others,1,0,0,0,0
NER,Matriculation,Female,295,10.500124128374678,2.6866699838673522,27.122213509875465,4.597840626233332
NER,Matriculation,Male,567,24.637362327103755,3.7875165789021383,19.667434253098495,3.4888588055143623
NER,HS or Diploma,Female,360,24.360351680881507,5.852048244493957,29.84592557587832,5.905061796912013
NER,HS or Diploma,Male,623,26.064032822851157,3.0944067379330384,26.759233628107832,3.9409885260336286
NER,UG,Female,554,24.664599796501914,3.3149708497408668,54.452042210208106,4.985684116869974
NER,UG,Male,764,26.466429830247623,2.665455284903512,46.475897537590576,3.7252742484454497
NER,PG and above,Female,139,35.803562550592325,8.515600557757958,59.379638118591615,8.494199502091455
NER,PG and above,Male,116,56.88954570156709,11.331315993489435,35.1842274732022,9.836094992215772
Rest of India,Not Literate,Female,418,9.508077940799286,1.945469110495093,0.12139528751138047,0.08439402828156692
Rest of India,Not Literate,Male,731,13.13694057728795,1.6589841098481082,3.391304836546453,1.0795001466269967
Rest of India,Below Primary,Female,156,17.681334750753606,5.313925211738961,3.779010961269337,2.728711577864739
Rest of India,Below Primary,Male,454,15.076329364223895,2.2161087622088247,3.627641541418871,1.6402945350225553
Rest of India,Primary or Middle,Female,2147,11.516669312305314,0.9616174883242932,2.2756766849453074,0.4099998643922076
Rest of India,Primary or Middle,Male,9111,20.929223582300015,0.7050657739745696,5.339744766984319,0.4027001302611485
Rest of India,Matriculation,Female,1205,17.951156071582595,1.7001820556522447,4.599440641983209,0.8512107985669606
Rest of India,Matriculation,Male,5114,29.776462824980456,1.1061840583044613,7.252621635884041,0.7941937543509109
Rest of India,HS or Diploma,Female,1615,29.684633150378115,1.8827217637293372,12.856653479958352,1.1069322126777348
Rest of India,HS or Diploma,Male,6553,36.71657537877812,0.9804133568760658,13.273039377022464,0.736362892401292
Rest of India,UG,Female,2516,44.07524277238789,1.7634274937617451,37.72833905213944,1.5547851100164576
Rest of India,UG,Male,5575,40.42788056565652,1.1627781443048355,26.510484457388067,1.0247309149103128
Rest of India,PG and above,Female,861,44.11643383049772,2.4527919032470784,43.34557658278021,2.5721569063506413
Rest of India,PG and above,Male,871,42.94586318696144,2.7078470080523163,29.623176393651967,2.510105852404391
