ner_state_name,gen_edu_category,social_group,sample_size,fe_rate,fe_rate_se,ur,ur_se
Arunachal Pradesh,Not Literate,Others,6,62.65626313282716,25.971011201674276,0,0
Arunachal Pradesh,Not Literate,SC,2,54.75872763993076,35.03508348614449,0,0
Arunachal Pradesh,Not Literate,ST,7,24.563639162926208,16.750701198396893,0,0
Arunachal Pradesh,Below Primary,OBC,3,52.762274652517625,35.24743228401492,0,0
Arunachal Pradesh,Below Primary,Others,25,3.5946164451950957,4.00220308247803,0,0
Arunachal Pradesh,Below Primary,SC,1,100,0,0,0
Arunachal Pradesh,Below Primary,ST,24,9.522986567029012,7.670494779785673,0,0
Arunachal Pradesh,Primary or Middle,OBC,33,28.71185714278229,6.814742260965478,24.697058527148634,6.175303878749391
Arunachal Pradesh,Primary or Middle,Others,103,13.34363154236363,5.935506650980416,1.5401329428236232,1.131519784888981
Arunachal Pradesh,Primary or Middle,SC,7,94.11795567608749,6.692735851368576,0,0
Arunachal Pradesh,Primary or Middle,ST,243,3.9075538866151662,1.3494372351198067,9.97961483541616,3.0813623011674642
Arunachal Pradesh,Matriculation,OBC,13,13.642927437181951,13.184234704720188,6.822452784467707,5.781655000731805
Arunachal Pradesh,Matriculation,Others,45,5.796148467103741,3.2259534842638047,1.9812546339228008,1.814546930346544
Arunachal Pradesh,Matriculation,SC,1,0,0,100,0
Arunachal Pradesh,Matriculation,ST,68,15.855844629390534,6.361053024844241,13.93530811837007,6.2180025045243195
Arunachal Pradesh,HS or Diploma,OBC,15,52.24839692987781,23.11528942789289,30.463493721308684,20.972635451448763
Arunachal Pradesh,HS or Diploma,Others,32,33.40067269530343,9.341799152418288,8.793222768193187,4.969241942855347
Arunachal Pradesh,HS or Diploma,SC,2,44.77620356664552,8.326672684688674e-15,55.22379643335448,2.7755575615628914e-15
Arunachal Pradesh,HS or Diploma,ST,95,20.764359182865046,7.765418152308692,24.82806787193365,4.455472327603573
Arunachal Pradesh,UG,OBC,7,19.533892428440826,14.5874498713812,80.46610757155916,14.5874498713812
Arunachal Pradesh,UG,Others,20,32.81473472175097,15.121481772154155,26.722816119846588,13.269992835740426
Arunachal Pradesh,UG,SC,4,0,0,71.86211553103765,16.551554608320913
Arunachal Pradesh,UG,ST,200,16.444997092954676,3.3940105585821696,65.92748745770682,6.1253696032713165
Arunachal Pradesh,PG and above,Others,9,26.529515825480505,20.106534264088065,60.51367317527606,21.688568297227935
Arunachal Pradesh,PG and above,ST,48,5.980536098705709,3.964460447037944,92.53494567492233,4.341962680837151
Assam,Not Literate,OBC,11,41.66366850363673,14.915212123849006,0,0
Assam,Not Literate,Others,12,37.522895147930114,23.176288580035475,0,0
Assam,Not Literate,SC,1,100,0,0,0
Assam,Not Literate,ST,3,0,0,0,0
Assam,Below Primary,OBC,23,15.695574630198688,11.672179916844797,7.500765081361753,6.600519411781199
Assam,Below Primary,Others,31,4.580638961712776,2.422957660122915,0.13524606423897748,0.1398649354866337
Assam,Below Primary,SC,3,90.95877779563571,11.172201273210772,0,0
Assam,Below Primary,ST,4,19.23001642559214,16.73600947676276,19.23001642559214,16.73600947676276
Assam,Primary or Middle,OBC,265,33.34723298231645,8.142905275918038,9.343813261810523,3.404783776036856
Assam,Primary or Middle,Others,312,9.582413228383865,2.667052958162967,18.54908071736694,3.960728492204025
Assam,Primary or Middle,SC,85,10.237267817060951,4.047883214075605,10.201753073296373,5.603726176859688
Assam,Primary or Middle,ST,94,4.973385146246903,2.2992762850950865,17.152778090988576,5.628203243227233
Assam,Matriculation,OBC,79,28.13459371232001,6.012693959158894,31.702090316435882,8.697092298299665
Assam,Matriculation,Others,114,20.79051407630132,5.59974699487901,14.236691842382431,5.348031416455599
Assam,Matriculation,SC,27,28.011490697520795,10.320588511465386,18.825844504200536,8.750167504621412
Assam,Matriculation,ST,36,9.597092990961452,5.653472955768537,27.615826302851332,9.290430170166834
Assam,HS or Diploma,OBC,118,26.69639711003225,6.968393071063115,30.844504299528452,7.547822159591748
Assam,HS or Diploma,Others,121,28.410797128041544,5.428523029663029,22.58835442014383,5.37744874704231
Assam,HS or Diploma,SC,30,14.646521576408208,7.4256911260026595,54.47611607793649,10.398907832613242
Assam,HS or Diploma,ST,40,16.64423875093625,7.474853168191374,30.169546024683676,12.706153651717237
Assam,UG,OBC,82,19.12134733417936,4.726182218528314,53.62537756245055,8.550517136436882
Assam,UG,Others,132,29.107539380756414,5.862254718278958,46.073355208370785,6.857109154963245
Assam,UG,SC,33,28.57083537163483,9.139576309042404,49.41245910322844,12.72564158191031
Assam,UG,ST,35,13.247444681583984,5.085518603169286,62.67963426938502,6.355264315480416
Assam,PG and above,OBC,12,72.61946960019192,16.57130585627968,20.60086277921225,14.843476136598053
Assam,PG and above,Others,11,68.5433045689009,18.599874778034657,30.70136567582572,18.596176088862727
Assam,PG and above,SC,4,0,0,99.99999999999999,5.780334128254719e-15
Assam,PG and above,ST,5,36.685817082006146,26.65176670243008,63.314182917993854,26.65176670243008
Manipur,Not Literate,OBC,3,0,0,75.44392369893971,17.67209559781284
Manipur,Not Literate,ST,4,0,0,50,0
Manipur,Below Primary,OBC,1,0,0,0,0
Manipur,Primary or Middle,OBC,153,8.187804465493906,2.6190901243356675,17.003412550744233,3.905434902443363
Manipur,Primary or Middle,Others,37,10.934824318955975,5.87464376534127,1.460303775642164,1.4523101657412425
Manipur,Primary or Middle,SC,12,0,0,9.29691206355725,7.749961466856325
Manipur,Primary or Middle,ST,103,7.319837099122671,2.66505971425602,10.66389868215851,3.8396102380318147
Manipur,Matriculation,OBC,55,7.47218793086037,3.0073217853357,21.1251934685432,9.694475778092091
Manipur,Matriculation,Others,16,6.728363923622499,5.096173941739858,1.5349965509714592,1.7141045294107178
Manipur,Matriculation,SC,3,0,0,63.75118618665939,28.591530873000238
Manipur,Matriculation,ST,24,1.996158489618026,1.8343593834412562,4.492050069728368,2.8648479943035605
Manipur,HS or Diploma,OBC,62,7.558817818829095,2.9963205655985847,28.831528958161968,10.3698433060967
Manipur,HS or Diploma,Others,23,23.40809910834145,10.075813306522834,20.990591295249455,9.26370552619678
Manipur,HS or Diploma,SC,8,0,0,7.0138602822882286,5.264974675259305
Manipur,HS or Diploma,ST,41,22.969808297475797,7.418950238609762,4.232850424876684,2.0964676283292385
Manipur,UG,OBC,99,38.94240547157458,8.150294535683013,32.36126069584217,7.441875372400987
Manipur,UG,Others,46,24.20815063093164,7.458870404308968,55.24756781366351,10.23515544861924
Manipur,UG,SC,17,17.573510671716548,5.595914744050487,64.74166059140457,10.101253666453236
Manipur,UG,ST,65,31.60208228874949,7.6329610538477946,51.921586967046466,7.708061420225057
Manipur,PG and above,OBC,8,47.84732392566941,15.683879385594935,43.14285323223059,15.639314403601793
Manipur,PG and above,Others,14,75.1988672966544,15.113387104224199,18.013612944072772,10.099093578832855
Manipur,PG and above,SC,2,0,0,100,0
Manipur,PG and above,ST,6,59.81782119382739,20.27305304111592,40.18217880617261,20.27305304111592
Meghalaya,Not Literate,Others,1,100,0,0,0
Meghalaya,Not Literate,ST,10,1.8167126916572276,1.8335341458236036,11.934371560349687,10.782300961879765
Meghalaya,Below Primary,OBC,1,0,0,0,0
Meghalaya,Below Primary,Others,7,5.876024403253727,6.27799348861122,0,0
Meghalaya,Below Primary,ST,80,4.46701156155,2.4446353734869954,4.014322036262972,2.49557073882601
Meghalaya,Primary or Middle,OBC,6,0,0,44.22246696845226,17.70542411174383
Meghalaya,Primary or Middle,Others,32,10.834816843285727,6.071041574450089,2.1006142934451963,1.5805528761463743
Meghalaya,Primary or Middle,ST,443,4.6231813349018465,1.260921519339722,17.19153692254542,3.3034700818131855
Meghalaya,Matriculation,OBC,2,56.204878260011895,34.81085956562258,0,0
Meghalaya,Matriculation,Others,6,55.24133574295904,21.581742731224264,23.261351096326386,19.814969845455494
Meghalaya,Matriculation,SC,2,100,0,0,0
Meghalaya,Matriculation,ST,97,24.968199763961742,7.179799624728071,25.354787010834645,4.756903970907564
Meghalaya,HS or Diploma,OBC,2,50,0,50,0
Meghalaya,HS or Diploma,Others,10,20.069926779009318,13.238386281072586,79.93007322099069,13.238386281072584
Meghalaya,HS or Diploma,ST,105,19.45272672667142,4.996986831567892,34.86565250339469,6.899545704150276
Meghalaya,UG,Others,18,43.33668175523449,8.019646608874398,36.254838331852035,12.393218153007645
Meghalaya,UG,SC,1,0,0,100,0
Meghalaya,UG,ST,106,25.418034983359444,4.404022758686181,59.58611255327815,5.7678938881210495
Meghalaya,PG and above,Others,3,45.56147190744196,35.89090542884739,54.43852809255804,35.89090542884739
Meghalaya,PG and above,ST,23,13.590344282807031,8.461976286207747,82.5922190532285,9.026945374094781
Mizoram,Not Literate,ST,10,0,0,0,0
Mizoram,Below Primary,ST,3,0,0,17.942595390088204,20.821788856356342
Mizoram,Primary or Middle,ST,149,3.0413007956024907,1.4227225374171137,5.427919645050222,3.4053991784141884
Mizoram,Matriculation,OBC,1,0,0,0,0
Mizoram,Matriculation,ST,43,8.882089300083706,4.3940517804502965,9.618770550573677,4.826273624048798
Mizoram,HS or Diploma,OBC,2,0,0,50,0
Mizoram,HS or Diploma,ST,41,33.83467873271545,11.875545564248775,6.044944571172406,3.6299558315575533
Mizoram,UG,ST,70,52.12294303144449,8.866709107806013,25.24803448353486,7.536377330259161
Mizoram,PG and above,ST,27,40.227793082956936,13.216977403874461,57.560911381329106,13.8299639604133
Nagaland,Not Literate,ST,4,0,0,100,0
Nagaland,Below Primary,SC,2,0,0,0,0
Nagaland,Below Primary,ST,8,0,0,0,0
Nagaland,Primary or Middle,Others,3,0,0,0,0
Nagaland,Primary or Middle,SC,6,70.81450386841864,23.860116716517833,9.36947435378143,8.622537117057218
Nagaland,Primary or Middle,ST,215,10.035728999602393,2.9403942206997704,16.406425123350697,4.781083151442787
Nagaland,Matriculation,Others,1,100,0,0,0
Nagaland,Matriculation,SC,2,0,0,90.24385413902498,4.163336342344337e-15
Nagaland,Matriculation,ST,91,9.089173595343466,4.598088776342121,40.53764505686947,6.149780471831681
Nagaland,HS or Diploma,Others,2,26.237965951927944,27.370204746879377,0,0
Nagaland,HS or Diploma,SC,1,0,0,0,0
Nagaland,HS or Diploma,ST,61,25.933006248612035,8.479705001614906,44.45592829718177,7.877486881004672
Nagaland,UG,Others,1,0,0,100,0
Nagaland,UG,SC,1,0,0,100,0
Nagaland,UG,ST,94,8.983201927328842,3.1128837917657384,81.74541791513079,5.1598439785524635
Nagaland,PG and above,ST,25,10.516573577857429,6.033416188593486,84.10843466534628,7.353812705448753
Sikkim,Not Literate,OBC,4,30.779194213315247,26.707466242596556,0,0
Sikkim,Not Literate,Others,2,44.193385656800295,34.87851192334553,0,0
Sikkim,Not Literate,ST,1,100,0,0,0
Sikkim,Below Primary,OBC,3,100,0,0,0
Sikkim,Below Primary,Others,3,88.5534136770629,13.86818881763542,0,0
Sikkim,Primary or Middle,OBC,61,56.868760991801025,7.631199549099117,3.263393483771352,2.057641624759563
Sikkim,Primary or Middle,Others,14,3.1517179554747505,2.5444969274156395,0,0
Sikkim,Primary or Middle,SC,5,62.610156684076,25.094488760386767,12.194421602400265,12.585780656989176
Sikkim,Primary or Middle,ST,47,35.024391088731775,6.5723904381170195,2.0786985140394347,1.6300425792032078
Sikkim,Matriculation,OBC,27,29.30402327756808,10.593859110940063,18.527785267938608,8.035682383655883
Sikkim,Matriculation,Others,8,52.180184571204165,18.727712076978577,0,0
Sikkim,Matriculation,SC,3,86.84974709395009,14.288298606483899,13.150252906049928,14.288298606483899
Sikkim,Matriculation,ST,10,43.99756372511064,18.477372899686404,2.8733533348494005,2.9935368102256805
Sikkim,HS or Diploma,OBC,29,68.7868619214565,11.242610775150439,4.699112007251645,2.583284354368748
Sikkim,HS or Diploma,Others,9,36.97653370240573,10.710844334052352,41.62773527207509,9.913293719338556
Sikkim,HS or Diploma,SC,3,37.4827393005722,28.97826989592508,0,0
Sikkim,HS or Diploma,ST,34,79.14153882463422,8.430994168189645,8.094181258895299,4.266237227214935
Sikkim,UG,OBC,54,75.64224071510914,7.251408272153684,11.875705552636651,5.5129422518768605
Sikkim,UG,Others,7,95.07024489445128,5.74013978068027,0.9473322342977242,1.293891590011766
Sikkim,UG,SC,5,80.51645361489099,17.22518440807796,19.483546385108998,17.225184408077965
Sikkim,UG,ST,31,75.07555342526561,9.432824767559952,16.02546906850803,6.122613522203073
Sikkim,PG and above,OBC,15,61.52518403406984,16.346573451995187,21.33379218623692,12.849399775479409
Sikkim,PG and above,SC,2,100,0,0,0
Sikkim,PG and above,ST,9,87.80642426561333,9.298335036660214,12.193575734386664,9.298335036660214
Tripura,Below Primary,Others,5,0,0,0,0
Tripura,Below Primary,SC,1,0,0,0,0
Tripura,Below Primary,ST,10,0,0,6.509664910253464,6.659188595862174
Tripura,Primary or Middle,OBC,40,12.663414954441613,6.013809039845582,2.2459880811925146,1.4875043039823115
Tripura,Primary or Middle,Others,42,5.957899458193028,2.8916190386980074,5.2944557360494,5.112509444611449
Tripura,Primary or Middle,SC,58,6.95484973573592,3.4649097075467203,1.4143350914951285,1.4407489897498764
Tripura,Primary or Middle,ST,101,0.6241363360503415,0.6330912914647021,0.09545130383401632,0.08637357910883887
Tripura,Matriculation,OBC,20,13.188955680860584,11.97091584154207,1.1132744468359936,1.0370096464353542
Tripura,Matriculation,Others,14,13.10342463864809,11.179925840824712,0,0
Tripura,Matriculation,SC,23,39.6972281595622,14.857259568838426,2.3526741750202076,2.4012727844028925
Tripura,Matriculation,ST,31,28.960871693704455,13.198745423130742,6.4548800952549685,6.280466799172495
Tripura,HS or Diploma,OBC,24,54.45660093800726,13.042852075764108,8.630850985396702,5.43587824532201
Tripura,HS or Diploma,Others,24,38.569428315919716,14.492974035303648,2.9215602482691234,2.4943820367281946
Tripura,HS or Diploma,SC,19,26.22422737897686,14.59663079951555,7.193750780650573,7.088584933769898
Tripura,HS or Diploma,ST,30,29.75547166307128,11.186082641592426,17.316262958888714,8.672573921512692
Tripura,UG,OBC,50,33.767614865372146,9.527580934613585,16.71690079781077,7.216479896859066
Tripura,UG,Others,48,46.284076191040946,9.055528731777752,27.46854237620123,7.5408031304535825
Tripura,UG,SC,50,27.779859087198616,7.409825166566819,15.743753990428033,7.276195021110536
Tripura,UG,ST,42,14.087154033259154,7.247476334614586,46.98026751310449,16.054760097814746
Tripura,PG and above,OBC,3,0,0,0,0
Tripura,PG and above,Others,15,32.280118973394515,12.670980098298996,36.33376602580481,14.146351176478584
Tripura,PG and above,SC,7,40.9404185158835,24.740679391498265,35.16346512179422,21.61924266617427
Tripura,PG and above,ST,7,0,0,56.96038381109856,24.35032030905172
