region,gen_edu_category,social_group,sample_size,fe_rate,fe_rate_se,ur,ur_se
NER,Not Literate,OBC,18,40.92969279863992,14.46746401293037,0.9810912870374392,0.7994143081768258
NER,Not Literate,Others,21,38.57981717314994,21.975759691869634,0,0
NER,Not Literate,SC,3,93.64520116310878,8.092480355733805,0,0
NER,Not Literate,ST,39,1.6198630944667547,1.033082528773689,9.46522745509457,6.752825143272208
NER,Below Primary,OBC,31,15.996347543820091,11.634133456669362,7.454523389144548,6.554123439735461
NER,Below Primary,Others,71,4.885109481699656,2.222833764393751,0.11883191290425912,0.1220791398877628
NER,Below Primary,SC,7,85.8691601986499,13.569626188861772,0,0
NER,Below Primary,ST,129,5.705885746317763,2.7418471968809035,6.157657305151939,2.960331662295522
NER,Primary or Middle,OBC,558,32.38436423791679,7.465184430093188,9.330786764939791,3.083134347116303
NER,Primary or Middle,Others,543,9.530672640287934,2.4325675955130555,17.13609222647767,3.61704137386927
NER,Primary or Middle,SC,173,12.080027444262114,3.9326587582868187,8.970162774886752,4.689757735127927
NER,Primary or Middle,ST,1395,5.163921401891288,0.8554369830667821,13.536167018611215,2.021798159144733
NER,Matriculation,OBC,197,25.4283940400503,5.170847696905966,28.421958580704494,6.929095098506566
NER,Matriculation,Others,204,20.14353111469601,4.917190755595968,12.804676772814963,4.67217557116027
NER,Matriculation,SC,61,31.265583593507866,8.49034572975599,16.695759277589385,6.927301262486988
NER,Matriculation,ST,400,13.983938983671518,2.848677106520425,26.162206720199233,3.6809727021973
NER,HS or Diploma,OBC,252,27.060723686287417,6.033124338895269,29.494819889980413,6.565244284047858
NER,HS or Diploma,Others,221,28.822772213736346,4.840076399067383,22.34693613297016,4.783778921728628
NER,HS or Diploma,SC,63,16.264685239949504,6.524739741814576,45.683907585978304,9.204383911434572
NER,HS or Diploma,ST,447,22.363123164854255,3.724296490318748,26.734750612495077,5.282376631788586
NER,UG,OBC,292,25.95212438824712,4.170834881232544,45.19203496453093,6.207000114178413
NER,UG,Others,272,30.97474212538081,5.015622944877904,44.528439004843264,5.772627408115916
NER,UG,SC,111,29.295456789861458,6.655850674630141,42.06407220973679,9.24468017955212
NER,UG,ST,643,19.82627486374571,2.3205395925403605,60.346394258769934,2.908131898433082
NER,PG and above,OBC,38,70.16158257067583,15.492847103621141,21.32192570304399,13.52818765429446
NER,PG and above,Others,52,63.05516388279293,13.04182323840497,31.182126155141095,12.831025127773362
NER,PG and above,SC,15,17.30101718856861,11.214371006327184,76.96193625744829,12.435458012709411
NER,PG and above,ST,150,21.498310827912494,7.266900663931473,73.32255806863935,7.307571550906736
Rest of India,Not Literate,OBC,457,9.916993228282843,1.9465214772220085,3.002698660480848,1.5216841530070029
Rest of India,Not Literate,Others,169,27.992622384531607,4.892482290243498,0.5886792412585815,0.5148892315728603
Rest of India,Not Literate,SC,275,13.722298657502236,2.935716671005723,2.317837438925907,0.9476354062077906
Rest of India,Not Literate,ST,248,6.568441976559766,2.409690138354363,1.782493278976088,1.3151002883973102
Rest of India,Below Primary,OBC,236,21.131273266031066,3.7797107114659836,6.029202149445051,3.2911327711488205
Rest of India,Below Primary,Others,96,22.35861162600842,6.5718956922751,2.452144378822289,1.3316808491104561
Rest of India,Below Primary,SC,158,15.363792853434022,4.309321050273037,2.57508360881559,2.1531449288750446
Rest of India,Below Primary,ST,120,2.3355024905533024,1.3982819602153667,1.853993252016744,1.2385513858518822
Rest of India,Primary or Middle,OBC,4793,19.95707296058001,0.947730473724418,4.25348448513365,0.4358975018993327
Rest of India,Primary or Middle,Others,2018,28.614674230509703,1.7890112046898592,6.444458876668263,1.1797822369389845
Rest of India,Primary or Middle,SC,2788,16.637389976700334,1.051447876514279,5.560769529965194,0.6740336361253978
Rest of India,Primary or Middle,ST,1659,11.888164471871997,1.3447940592559964,3.3384427287158465,0.7354589068285755
Rest of India,Matriculation,OBC,2829,27.50419921272742,1.3957030135122663,5.737144052726368,0.6866711273684694
Rest of India,Matriculation,Others,1298,33.28600583419427,2.3767317107387598,10.824888942554892,2.5605185660845664
Rest of India,Matriculation,SC,1386,28.202770510945165,1.9676709657473967,6.094136990231052,0.7798380316571815
Rest of India,Matriculation,ST,806,15.873614186971752,2.2655351650735955,5.068967760341675,1.238842436389507
Rest of India,HS or Diploma,OBC,3583,33.10254581057308,1.235101580931471,12.760185477619663,1.0206887842126307
Rest of India,HS or Diploma,Others,2035,43.02387360372582,2.004943314656299,11.919120207668662,1.0510594773946063
Rest of India,HS or Diploma,SC,1667,36.22869645982422,1.9602885851287857,16.703364798962482,1.489927283335509
Rest of India,HS or Diploma,ST,883,24.53666177996478,2.245601803865025,10.961881170144098,1.6885889877650317
Rest of India,UG,OBC,3639,40.32246886918538,1.2749515534871196,29.884854745053698,1.1872457039002426
Rest of India,UG,Others,2682,47.98479502091501,2.436247557329309,25.90366549897584,1.7961892681228493
Rest of India,UG,SC,1296,36.593104808252164,2.1073476998807728,36.10486563486015,2.104384211031783
Rest of India,UG,ST,474,24.551626572872312,3.04975594675755,31.748561116448258,3.156275852050993
Rest of India,PG and above,OBC,696,39.31337037767821,2.773541427887265,37.94700270354976,2.8700086669560183
Rest of India,PG and above,Others,723,50.5412982955851,2.9412828655132652,30.797239190922948,2.5801026548074812
Rest of India,PG and above,SC,226,40.73742640307113,5.529326096415703,40.82407018173434,5.6023336257721095
Rest of India,PG and above,ST,87,28.373826750763016,7.523696628703326,42.87316902697458,7.453641020594431
