State,District Name,Terrain,Unweighted n,UG and Above (%),UG and Above SE,FE Share (%),FE Share SE,Unemployment (%),Unemployment SE,Small Cell Flag
AR,Anjaw,Hills,8,36.16,30.46,36.16,30.46,2.14,1.8,CAUTION: n<30
AR,Changlang,Hills,119,16.52,8.74,17.34,6.98,12.87,6.82,
AR,Dibang Valley,Hills,13,0,0,18.45,6.02,0,0,CAUTION: n<30
AR,East Kameng,Hills,109,27.55,6.5,11.81,5.49,25.88,6.65,
AR,East Siang,Hills,79,24.35,9.55,14.58,5.39,21.12,8.93,
AR,Kurung Kumey,Hills,55,39.52,6.4,11.05,4.36,37.99,9.51,
AR,Lohit,Hills,66,3.98,2.39,6.2,3.02,2.81,1.57,
AR,Lower Dibang Valley,Hills,44,33.6,6.84,5.37,2.2,23.06,8.44,
AR,Lower Subansiri,Hills,21,51.43,12.39,12.85,10.52,51.94,12.27,CAUTION: n<30
AR,Papum Pare,Hills,191,23.09,4.85,17.5,5.68,21.97,6.95,
AR,Tawang,Hills,24,46.42,4.42,15.37,5.96,60.45,8.71,CAUTION: n<30
AR,Tirap,Hills,59,5.76,3.48,8.27,4.58,11.45,5.65,
AR,Upper Siang,Hills,33,24.66,5.49,25.7,7.82,10.08,6.87,
AR,Upper Subansiri,Hills,34,39.34,6.49,1.3,1.36,41.85,12.26,
AR,West Kameng,Hills,66,19.96,6.25,7.53,2.46,25.54,9.01,
AR,West Siang,Hills,47,37.74,5.39,8.98,3.08,39.91,9.17,
AR,NA,Hills,223,16.98,4.87,11.78,3.24,13.1,4,
AS,Baksa,Plains,68,16.64,6.37,4.52,2.78,15.78,5.31,
AS,Barpeta,Plains,111,7.95,3.04,8.69,4.33,3.64,2.71,
AS,Biswanath,Plains,82,8.63,2.96,7.06,4.65,33.42,9.5,
AS,Bongaigaon,Plains,46,8.87,5.26,36.09,14.42,13.28,6.59,
AS,Cachar,Plains,191,5.89,2.8,8.36,2.13,14.98,4.12,
AS,Charaideo,Plains,41,7.33,5.38,16.6,7.11,7.51,4.51,
AS,Chirang,Plains,45,8.84,4.15,3.12,2.44,11.05,6.81,
AS,Darrang,Plains,63,4.6,3.35,19.58,6.51,16.08,9.32,
AS,Dhemaji,Plains,44,33.85,9.07,14.64,6.91,45.38,9.54,
AS,Dhubri,Plains,166,2.45,1.17,3.11,1.22,10.14,4.16,
AS,Dibrugarh,Plains,136,4.23,1.56,49.04,7.29,6.48,2.89,
AS,Dima Hasao,Hills,21,4.55,3.7,2.38,2.61,4.55,3.7,CAUTION: n<30
AS,Goalpara,Plains,40,14.93,6.26,3.58,2.75,12.3,7.69,
AS,Golaghat,Plains,89,23.28,8.27,17.38,6.61,13.37,3.77,
AS,Hailakandi,Plains,32,20.19,7.87,7.01,4.32,5.96,4.79,
AS,Hojai,Plains,67,5.04,3.24,5.94,3.34,8.05,3.5,
AS,Jorhat,Plains,59,9.21,6.14,7.97,5.24,11.59,6.75,
AS,Kamrup,Plains,129,10.56,2.86,13.34,3.53,20.53,6.93,
AS,Kamrup Metropolitan,Plains,73,39.21,8.73,31.19,7.15,30.94,7.81,
AS,Karbi Anglong,Hills,81,3.3,2.27,9.65,5.41,3.09,2.4,
AS,Karimganj,Plains,110,12.85,4.86,12.86,7.73,9.97,3.96,
AS,Kokrajhar,Plains,85,3.53,1.62,2.37,1.71,5.63,3.33,
AS,Lakhimpur,Plains,47,22.56,5.95,8.36,4.36,20.54,7.1,
AS,Majuli,Plains,20,2.78,3.26,0,0,15.09,6.12,CAUTION: n<30
AS,Morigaon,Plains,88,9.76,4.78,11.04,7.45,22.25,8.03,
AS,Nagaon,Plains,210,14.52,3.31,8.22,1.86,9.5,2.97,
AS,Nalbari,Plains,26,30.69,19.31,10.64,9.84,9.24,6.45,CAUTION: n<30
AS,Sivasagar,Plains,38,5.95,4.06,15.29,8.26,10.33,7.41,
AS,Sonitpur,Plains,86,6.66,2.78,10.2,7.41,14.81,6.23,
AS,South Salmara Mankachar,Plains,29,0.48,0.45,0.48,0.46,1.51,0.77,CAUTION: n<30
AS,Tinsukia,Plains,173,7.35,3.15,47.85,11.42,8.13,3.56,
AS,Udalguri,Plains,93,8.55,3.49,7.44,2.78,19.9,7.97,
AS,West Karbi Anglong,Hills,10,0,0,0,0,0,0,CAUTION: n<30
ML,East Garo Hills,Hills,66,16.44,7.1,6.92,2.35,38.44,7.25,
ML,East Khasi Hills,Hills,341,15.27,3.23,15.55,2.53,23.45,3.43,
ML,Ribhoi,Hills,123,5.52,2.31,8.56,3.76,12.18,3.59,
ML,South Garo Hills,Hills,44,6.67,6.34,11.92,10.87,19.65,9.73,
ML,West Garo Hills,Hills,122,3.19,0.92,4.22,2.18,7.75,3.58,
ML,West Khasi Hills,Hills,49,5.29,4.42,3.27,1.91,3.45,2.73,
ML,NA,Hills,339,5.04,1.29,4.83,1.57,19.79,4.45,
MN,Bishnupur,Plains,85,39.17,11.43,7.19,3.16,43.12,11.96,
MN,Chandel,Hills,39,23.05,4.14,17.06,2.91,3.26,2.52,
MN,Churachandpur,Hills,84,38.82,8.01,24.81,4.99,20.53,7.26,
MN,Imphal East,Plains,143,37.59,6.54,24.03,6.32,18.9,4.36,
MN,Imphal West,Plains,268,33.35,4.91,20.95,3.12,20.75,3.9,
MN,Senapati,Hills,102,12.18,3.6,8.03,3.4,15.07,4.03,
MN,Tamenglong,Hills,39,21.74,10.73,1.41,1.41,15.38,8.45,
MN,Thoubal,Plains,192,31.1,6.88,8.32,3.09,13.05,4.23,
MN,Ukhrul,Hills,30,16.11,11.12,1.42,1.36,17.13,10.19,
MN,NA,Hills,57,6.87,3.49,1.98,1.49,11.2,6.54,
MZ,Aizawl,Hills,167,36.19,5.36,25.98,4.51,13.02,3.81,
MZ,Champhai,Hills,65,29.59,8.1,10.96,5.33,20.96,9.61,
MZ,Kolasib,Hills,22,6.16,4.77,5.51,4.69,3.85,4.04,CAUTION: n<30
MZ,Lawngtlai,Hills,50,6.41,3.88,2.43,2.47,3.48,1.45,
MZ,Lunglei,Hills,84,19.69,6.38,25.34,8.03,9.14,4.31,
